,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,Attribute,Data type,"Mobile Platforms -
IOS
Android
Android TV
Fire TV
Apple TV","Web Platforms -
Web
Tizen
LG 
Vizio
Xumo",Roku,Description,Sample Values,APP_START,APP_FOREGROUND,APP_BACKGROUND,SIGN_UP,LOGIN_INITIATED,LOGIN,LOGOUT,TNC,CONSENT,SEARCH,VIEW_PLANS,SUBSCRIPTION_INITIATED,PAYMENT_INITIATED,PURCHASE_SUBSCRIPTION,PURCHASE_SUBSCRIPTION_CANCEL,PURCHASE_SUBSCRIPTION_FAILURE,CREATE_PROFILE,UPDATE_PROFILE,DELETE_PROFILE,FORGOT_PASSWORD,LINK_DEVICE,REMOVE_DEVICE,VIEW_CONTENT_DETAILS,RENT_CONTENT,FAVORITE_CONTENT,TAB_CLICK,CONTAINER_CLICK,COLLECTION_CLICK,SEARCH_CLICK,EPG_ITEM_CLICK,WATCHLIST_ITEM_CLICK,STOREFRONT_TAB_CHANGE,MENU_TAB_CHANGE,VIEW_COLLECTION_DETAILS,PLAYBACK_START,PLAYBACK_PREPARED,PLAYBACK_STARTED,PLAYBACK_INPROGRESS,PLAYBACK_BUFFERING_START,PLAYBACK_BUFFERING_END,PLAYBACK_SEEK_START,PLAYBACK_SEEK_COMPLETE,PLAYBACK_PAUSED,PLAYBACK_RESUMED,PLAYBACK_STOPPED,PLAYBACK_COMPLETE,PLAYBACK_VARIANT_CHANGE,PLAYBACK_AUDIO_LANGUAGE_CHANGE,PLAYBACK_SUBTITLE_LANGUAGE_CHANGE,NETWORK_CHANGE,PLAYBACK_RECOVERY_STATUS,ERROR,SKIP_INTRO,SKIP_CREDITS,NEXT_EPISODE,DOWNLOAD_START,DOWNLOAD_PREPARED,DOWNLOAD_STARTED,DOWNLOAD_INPROGRESS,DOWNLOAD_PAUSED,DOWNLOAD_RESUMED,DOWNLOAD_STOPPED,DOWNLOAD_COMPLETED,DOWNLOAD_DELETED,DOWNLOAD_LICENSE_RENEWED,AD_BREAK_START,AD_START,AD_END,AD_BREAK_COMPLETE,AD_SKIP,AD_VIEW
,,lowestVariantBandwidthKb,Integer,Custom,Custom,Custom,Lowest variant of Bandwidth played (Kilobits),6910,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,lastPlayedVariant,Integer,Custom,Custom,Custom,Last played variant (Kilobits),3212336,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,NA,Y,Y,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,vstStartMs,Integer,Custom,Custom,Custom,Time from player prepare to playback start (ms),10000,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,O,N,N,N,N,N,N,NA,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,vstStreamloadMs,Integer,Custom,Custom,Custom,Time taken to load SSAI/DAI stream URL (ms),10000,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,O,N,N,N,N,N,N,NA,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,vstLicenseMs,Integer,Custom,Custom,Custom, Time taken to load DRM license (ms),10000,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,O,N,N,N,N,N,N,NA,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,vstPrerollMs,Integer,Custom,Custom,Custom,Time taken to load preroll ad (ms),10000,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,O,N,N,N,N,N,N,NA,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,playbackStartedTimeSec,Integer,Custom,Custom,Custom,Total time from PLAYBACK_START to PLAYBACK_STARTED event,5,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,O,N,N,N,N,N,N,NA,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,audioLanguage,String,Custom,Custom,Custom,Language of the audio,English,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,O,O,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,NA,N,N,N,N,N,N
,,subtitleLanguage,String,Custom,Custom,Custom,Language of subtitles,English,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,O,O,N,N,N,NA,N,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,isFreePreview,Boolean,Custom,Custom,Custom,Content is a free preview,TRUE or FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,isDownloadable,Boolean,Custom,NA,Custom,Content is downloadable,TRUE or FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,playbackDurationSec,Integer,Custom,Custom,Custom,"Total playback duration from playback started to playback stopped or playback complete. Restart the playback duration when the next program starts and user in the same session, channel (In Seconds)",241,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,NA,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,programPlaybackDurationSec,Integer,Custom,Custom,Custom,Total playback duration for current program in seconds,60,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,NA,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,isCasting,Boolean,Custom,NA,NA,Content is being casted.  The isCasting flag should only be set to true for AirPlay sessions originating from iPhone or Web.   Excludes Chromecast events,TRUE or FALSE,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,contentLanguage,String,Custom,Custom,,Language of the content,"Content display Language - English, etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,playbackMode,String,Custom,Custom,Custom,Mode of the player,"Enumerated:
- live
- catchup
- vod",N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,source,String,Custom,Custom,Custom,Source of event,"Enum:
carousel
channels
continue-watching
my-list
recommendations
home-autoplay
details-autoplay
suggested-next
search
content-details
deeplink
referral",N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,ccEnabled,Boolean,Custom,Custom,Custom,Close captioning is enabled,TRUE or FALSE,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,N,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,autoPreview,Boolean,Custom,Custom,Custom,Identify whether the playback is an auto playback or user initiated,TRUE or FALSE,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,NA,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,currentPosition,Integer,Custom,Custom,Custom,Current position of the player,4069 secs,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,NA,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,N,N,N
,Error,errorCode,String,Custom,Custom,Custom,Application error,131334,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,Y,Y,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,errorMessage,String,Custom,Custom,Custom,Application error message,The server has responded with an error!,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,Y,Y,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,errorDescription,String,Custom,Custom,Custom,Application error description,"Optional<String>
        - some : ""{\""header\"":{\""code\"":-1,\""message\"":\""Failure\"",\""errors\"":[{\""description\"":\""Invalid content metadata\"",\""code\"":\""40050120\""}],\""source\"":\""005-01\"",\""system_time\"":1602825904729,\""tracking_id\"":\""3162d924-af26-4287-aac6-487a5add027d\""}}""",N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,Y,Y,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,errorInternal,String,Custom,Custom,Custom,Application internal error,"Optional<QPError>
    ▿some : ErrorObject
      - errorCode : 40050120
      - errorDescription : ""Invalid content metadata",N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,Y,Y,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,playbackRecoveryStatus,String,Custom,NA,NA,"Reports the outcome of a recovery attempt. The result can be one of the following:
Success – Recovery succeeded and playback resumed.
Failure – Recovery failed and the error persists.
(Applicable only for Android Platforms)
","Status: Success | Code: 40020d, Internal Error Code: 1002, Internal Error Code Name: ERROR_CODE_BEHIND_LIVE_WINDOW | Attempts: 1/3 | Duration: 2081 ms
",N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,Y,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,errorType,String,Custom,Custom,Custom,Type of error,"PLAYBACK_ERROR, UMS_ERROR, APP_ERROR, RECOVERABLE_PLAYBACK_ERROR",N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,Y,Y,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,,errorSeverity,String,Custom,Custom,Custom,Severity of the error,"All PLAYBACK_ERROR, AD_ERROR, DOWNLOAD_ERROR errorTypes can be tagged as CRTICAL
All APP_ERROR errorType can be tagged as WARNING
All UMS_ERROR errorType can be tagged as INFO",N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,Y,Y,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N
,Device,device,String,Default,Custom,Custom,Device name,SM-T387W,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,deviceGroup,String,Default,Custom,Custom,"Category of the device, such as iPhone or Tablet",Tablet,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,deviceManufacturer,String,Default,Custom,Custom,Device manufacturer,Samsung,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,deviceModel,String,Default,Custom,Custom,Device model,SM-T387W,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,deviceCapability,String,Custom,NA,NA,Device classification based on model,"HIGH_END, MID_RANGE, LOW_END",Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,deviceType,String,Default,Custom,Custom,Device type,"mobile, tablet, or desktop",Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,userAgentName,String,NA,Default,NA,"Browser’s name, such as Chrome and Firefox, obtained from the User-Agent header of an HTTP request.  Web only","Chrome, Firefox",Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,userAgentOS,String,NA,Default,NA,"Browser’s reported operating system, such as Windows or Linux, that it is running on. This is obtained from the User-Agent header of an HTTP request.  Web only",Browsers' Version,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,osName,String,Default,NA,Custom,"Name of the app's host operating system, for example, iOS or Android
",Android,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,osVersion,String,Default,NA,Custom,"Full version number of the app's host operating system, such as iOS 11.0.4, as compared to iOS 11",13.123,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,osMajorVersion,String,Default,NA,NA,"Major version number of the app's host operating system, such as iOS 11, as compared to iOS 11.0.4",13,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,Location,city,String,Default,Default,Default,City,Oshawa,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,countryCode,String,Default,Default,Default,"Country code. For a list of country codes, see ISO 3166-1 alpha-2.",CA,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,regionCode,String,Default,Default,Default,Region code,25,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,Network,asn,String,Default,Default,Default,Unique number to identify a group of IP networks serving content to the end user,10796,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,asnLatitude,Integer,Default,Default,Default,"Latitude of the geographic center of the postal code where the ASN is registered. This is not the end user's latitude
",40.7831,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,asnLongitude,Integer,Default,Default,Default,"Longitude of the geographic center of the postal code where the ASN is registered. This is not the end user's latitude
",73.9712,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,asnOwner,String,Default,Default,Default,Telecom owner of the ASN,Time Warner Cable Internet LLC,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,carrier,String,Default,NA,Default,"Network over which the app transferred data, such as wifi or [carrier name]",wifi,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,User,userID,String,Custom,Custom,Custom,Unique identifier for the logged in user,encrypted or masked ID from UMS,Y,Y,Y,N,N,O,O,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,userType,String,Custom,Custom,Custom,User type,"Enumerated:  registered, subscribed, cancelled, anonymous, vip",O,O,Y,N,O,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,profileID,String,Custom,Custom,Custom,User profile unique identifier,378251450,Y,Y,Y,N,O,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,profileType,String,Custom,Custom,Custom,User profile type,"kids, regular, preschool",Y,Y,Y,N,O,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
,,deviceID,String,Custom,Custom,Custom,"Device identifier, QP-generated",1c8dd2c3-5362-415d-aed4-043f6d78085f,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y
