,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,Attribute,Data type,"Mobile Platforms -
IOS
Android
Android TV
Fire TV
Apple TV

","Web Platforms -
Web
Tizen
LG 
Web OS",Roku ,Description,Sample Values,APP_START,APP_FOREGROUND,APP_BACKGROUND,SIGN_UP,LOGIN,LOGOUT,CONSENT,SEARCH,VIEW_PLANS,SUBSCRIPTION_INITIATED,PAYMENT_INITIATED,PURCHASE_SUBSCRIPTION,PURCHASE_SUBSCRIPTION_CANCEL,PURCHASE_SUBSCRIPTION_FAILURE,FORGOT_PASSWORD,LINK_DEVICE,VIEW_CONTENT_DETAILS,FAVORITE_CONTENT,STOREFRONT_TAB_CHANGE,MENU_TAB_CHANGE,VIEW_COLLECTION_DETAILS,PLAYBACK_START,PLAYBACK_PREPARED,PLAYBACK_STARTED,PLAYBACK_INPROGRESS,PLAYBACK_BUFFERING_START,PLAYBACK_BUFFERING_END,PLAYBACK_SEEK_START,PLAYBACK_SEEK_COMPLETE,PLAYBACK_PAUSED,PLAYBACK_RESUMED,PLAYBACK_STOPPED,PLAYBACK_COMPLETE,ERROR,SKIP_INTRO,SKIP_CREDITS,NEXT_EPISODE,DOWNLOAD_START,DOWNLOAD_PREPARED,DOWNLOAD_STARTED,DOWNLOAD_INPROGRESS,DOWNLOAD_PAUSED,DOWNLOAD_RESUMED,DOWNLOAD_STOPPED,DOWNLOAD_COMPLETED,DOWNLOAD_DELETED,AD_BREAK_START,AD_START,AD_END,AD_BREAK_COMPLETE,AD_SKIP,AD_VIEW
,,internalError,String,Custom,Custom,Custom,JSON String of Application internal error,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,errorType,String,Custom,Custom,Custom,Type of error,"PLAYBACK_ERROR, UMS_ERROR, AD_ERROR, APP_ERROR, DOWNLOAD_ERROR",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,errorSeverity,String,Custom,Custom,Custom,"Severity of the error, player only","All PLAYBACK_ERROR, AD_ERROR, DOWNLOAD_ERROR errorTypes can be tagged as CRTICAL
All APP_ERROR errorType can be tagged as WARNING
All UMS_ERROR errorType can be tagged as INFO",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,Device,device,String,Default,Custom,Custom,Device name,SM-T387W,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,deviceGroup,String,Default,Custom,Custom,"Category of the device, such as iPhone or Tablet",Tablet,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,deviceManufacturer,String,Default,Custom,Custom,Device manufacturer,Samsung,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,deviceModel,String,Default,Custom,Custom,Device model,SM-T387W,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,deviceType,String,Default,Custom,Custom,Device type,"mobile, tablet, or desktop",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,deviceCapability,String,Custom,Custom,Custom,"Indicates the performance category of the user's device, typically classified based on hardware capabilities such as CPU, memory, and GPU","HIGH_END, MID_RANGE, LOW_END",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,hevcCodecName,String,Custom,Custom,Custom,"Specifies the exact codec string used for HEVC (High Efficiency Video Coding), also known as H.265",hev1.1.6.L120.90,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,Y,O,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
,,avcCodecName,String,Custom,Custom,Custom,"Specifies the codec string used for AVC (Advanced Video Coding), also known as H.264.",avc1.42E01E,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,Y,O,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
,,userAgentName,String,NA,Default,NA,"Browser’s name, such as Chrome and Firefox, obtained from the User-Agent header of an HTTP request.  Web only","Chrome, Firefox",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,userAgentOS,String,NA,Default,NA,"Browser’s reported operating system, such as Windows or Linux, that it is running on. This is obtained from the User-Agent header of an HTTP request.  Web only",Browsers' Version,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,osName,String,Default,NA,Custom,"Name of the app's host operating system, for example, iOS or Android
",Android,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,osVersion,String,Default,NA,Custom,"Full version number of the app's host operating system, such as iOS 11.0.4, as compared to iOS 11",13.123,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,osMajorVersion,String,Default,NA,Default,"Major version number of the app's host operating system, such as iOS 11, as compared to iOS 11.0.4",13,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,Location,city,String,Default,Default,Default,City,Oshawa,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,countryCode,String,Default,Default,Default,"Country code. For a list of country codes, see ISO 3166-1 alpha-2.",CA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,regionCode,String,Default,Default,Default,Region,25,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,Network,asn,String,Default,Default,Default,Unique number to identify a group of IP networks serving content to the end user,10796,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,asnLatitude,Numeric,Default,Default,Default,"Latitude of the geographic center of the postal code where the ASN is registered. This is not the end user's latitude
",40.7831,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,asnLongitude,Numeric,Default,Default,Default,"Longitude of the geographic center of the postal code where the ASN is registered. This is not the end user's latitude
",73.9712,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,asnOwner,String,Default,Default,Default,Telecom owner of the ASN,Time Warner Cable Internet LLC,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,observedBandwidth,Integer,Custom,Custom,Custom,Bandwidth observed during that particular period of time. (In Bits),8728,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
,,carrier,String,Default,NA,Default,"Network over which the app transferred data, such as wifi or [carrier name]",wifi,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,User,userID,String,Custom,Custom,Custom,Unique identifier for the logged in user,encrypted or masked ID from UMS,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,userType,String,Custom,Custom,Custom,User type.  May not be available for app_start and app_forgeground due to latency to retrieve login status,"Enumerated:  
DTC = registered, subscribed, cancelled, anonymous, vip
TVE = subscribed, anonymous",O,O,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,deviceID,String,Default,Default,Default,"Device identifier, auto-generated",1c8dd2c3-5362-415d-aed4-043f6d78085f,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,baseSubscription,String,Custom,Custom,Custom,Subscription package,"Monthly, Yearly-Telugu, Yearly-Tamil",N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,tveProvider,String,Custom,Custom,Custom,TVE provider,"youtubetv, dish, directv, cox, etc.",N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,ip_address,String,Custom,Custom,Custom,IPv4 address,01.102.103.104,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,Consent,consentPurpose,String,Custom,Custom,Custom,Purpose of the consent,personalization,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,consentGiven,Boolean,Custom,Custom,Custom,Consent given,TRUE or FALSE,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,consentWithdrawn,Boolean,Custom,Custom,Custom,Consent withdrawn,TRUE or FALSE,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,"User Journey
",pageID,String,Custom,Custom,Custom,"Page identifier.  For specific use cases to identify pages, events will describe navigation primarily","Home, Movies, Search,Retention Prompt, Settings",N,N,N,N,N,N,N,N,O,O,O,N,N,N,N,N,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,N,N,N,N,N,N,N,N,N,N
,,storefrontID,String,Custom,Custom,Custom,"Storefront identifier.  Only valid for cases where content reached without a deeplink.  Not valid when users navigations from Search, EPG or My Library page",A7EBBEC2-B873-4625-9D31-EA7D93500E7B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
,,tabID,String,Custom,Custom,Custom,Tab identifier.  Only valid for cases where content reached without a deeplink,E10D473C-412A-4AFC-B687-A401D8916A01,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,O,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
,,tabName,String,Custom,Custom,Custom,Tab name.  Only valid for cases where content reached without a deeplink,Tab name where the user selected the content to play,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,O,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
,,containerID,String,Custom,Custom,Custom,Container identifier.  Only valid for cases where content reached without a deeplink,3E0CF0B0-F48F-42E1-A207-780DBD9945A1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,O,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
,,containerName,String,Custom,Custom,Custom,Conatiner name.  Only valid for cases where content reached without a deeplink,Container name where the user selected the content to play,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,O,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
,,collectionID,String,Custom,Custom,Custom,Collection identifier.  Only valid for cases where content reached without a deeplink,collection_id,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
,,collectionName,String,Custom,Custom,Custom,Collection name.  Only valid for cases where content reached without a deeplink,collection_name,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
,,previous_screen,String,Custom,Custom,Custom,Previous screen,"Settings, MyContent, Browse",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,current_screen,String,Custom,Custom,Custom,Current screen,"Settings, MyContent, Browse",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
,,favoriteAction,String,Custom,Custom,Custom,Favourite clicked,ADD or DELETE,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,searchString   ,String,Custom,Custom,Custom,Search string,Fairchild,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,totalItems,Integer,Custom,Custom,Custom,Total items returned by search,Search items count,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,planName,String,Custom,Custom,Custom,Plan name that the user selected under view plans,"[plan name] monthly, [plan name] yearly, etc.",N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,displayLanguage,String,Custom,Custom,Custom,Display language for app,"App display Language - English, etc.",Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
,,prefDownloadOnWifiOnly,Boolean,Custom,Custom,Custom,User prefers download on wifi only,TRUE or FALSE,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,priceCode,String,Custom,Custom,Custom,Price code for TVOD,Credits / Rental price code of a content user chooses to redeem or rent,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,Ads,adType,String,Custom,Custom,Custom,Ad type,"preroll, midroll, postroll,  banner, banner-inhouse",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
,,adDuration,String,Custom,Custom,Custom,Ad duration,duration in sec,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N
,,adskipOffset,String,Custom,Custom,Custom,"During ad break, adSkipOffset reports the ad position which the user skipped on.  If they skipped on the first ad in the break it would be 1, if they skipped 2nd ad in the break it would be 2",AD skip offset value,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N
,Ops,memUsageMb,Numeric,Default,NA,NA,Memory usage by the app,35,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,lastInteraction,String,Default,NA,Default,"The last interaction before a crash or harvest event, if one is present.",Display UICompatibilityInputViewController,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,install,Boolean,Default,NA,Default,"Indicates true only if the current session is the first session after app install.
",TRUE,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,timeToAppStart,Integer,Custom,Custom,Custom,Time to start app (milliseconds),5232,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,silentLogin,Boolean,Custom,Custom,Custom,App silently logged in,TRUE or FALSE,O,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,platform,String,Default,NA,Default,"Platform type of the New Relic SDK agent, such as native or React",Native,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
