,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,Attribute,Data type,"Mobile Platforms -
IOS
Android
Android TV
Fire TV
Apple TV","Web Platforms -
Web
Tizen
LG 
Web OS",Description,Sample Values,APP_START,APP_FOREGROUND,APP_BACKGROUND,SIGN_UP,LOGIN_INITIATED,LOGIN,LOGOUT,TNC,CONSENT,SEARCH,VIEW_PLANS,SUBSCRIPTION_INITIATED,PAYMENT_INITIATED,PURCHASE_SUBSCRIPTION,PURCHASE_SUBSCRIPTION_CANCEL,PURCHASE_SUBSCRIPTION_FAILURE,CREATE_PROFILE,UPDATE_PROFILE,DELETE_PROFILE,FORGOT_PASSWORD,LINK_DEVICE,REMOVE_DEVICE,VIEW_CONTENT_DETAILS,RENT_CONTENT,FAVORITE_CONTENT,TAB_CLICK,CONTAINER_CLICK,COLLECTION_CLICK,SEARCH_CLICK,EPG_ITEM_CLICK,WATCHLIST_ITEM_CLICK,STOREFRONT_TAB_CHANGE,MENU_TAB_CHANGE,VIEW_COLLECTION_DETAILS,PLAYBACK_START,PLAYBACK_PREPARED,PLAYBACK_STARTED,PLAYBACK_INPROGRESS,PLAYBACK_BUFFERING_START,PLAYBACK_BUFFERING_END,PLAYBACK_SEEK_START,PLAYBACK_SEEK_COMPLETE,PLAYBACK_PAUSED,PLAYBACK_RESUMED,PLAYBACK_STOPPED,PLAYBACK_COMPLETE,PLAYBACK_VARIANT_CHANGE,PLAYBACK_AUDIO_LANGUAGE_CHANGE,PLAYBACK_SUBTITLE_LANGUAGE_CHANGE,NETWORK_CHANGE,ERROR,SKIP_INTRO,SKIP_INTRO,NEXT_EPISODE,DOWNLOAD_START,DOWNLOAD_PREPARED,DOWNLOAD_STARTED,DOWNLOAD_INPROGRESS,DOWNLOAD_PAUSED,DOWNLOAD_RESUMED,DOWNLOAD_STOPPED,DOWNLOAD_COMPLETED,DOWNLOAD_DELETED,DOWNLOAD_LICENSE_RENEWED,AD_BREAK_START,AD_START,AD_END,AD_BREAK_COMPLETE,AD_SKIP,AD_VIEW,BANNER_AD_CLICK,LINK_TO_MOBILE,LINK_TO_EMAIL,VIEW_APP
,,lastAttemptedVariant,Integer,Custom,Custom,Last attempted variant (Kilobits),3212336,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,Y,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,playbackStartedTimeSec,Integer,Custom,Custom,Total time from PLAYBACK_START to PLAYBACK_STARTED event,5,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,O,N,N,N,N,N,N,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,audioLanguage,String,Custom,Custom,Language of the audio,English,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,O,O,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,subtitleLanguage,String,Custom,Custom,Language of subtitles,English,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,O,O,N,N,N,NA,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,isFreePreview,Boolean,Custom,Custom,Content is a free preview,TRUE or FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,isDownloadable,Boolean,Custom,NA,Content is downloadable,TRUE or FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,playbackDurationSec,Integer,Custom,Custom,"Total playback duration from playback started to playback stopped or playback complete. Restart the playback duration when the next program starts and user in the same session, channel (In Seconds)",241,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,programPlaybackDurationSec,Integer,Custom,Custom,Total playback duration for current program in seconds,60,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,isCasting,Boolean,Custom,NA,Content is being casted,TRUE or FALSE,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,contentLanguage,String,Custom,Custom,Language of the content,"Content display Language - English, etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,playbackMode,String,Custom,Custom,Mode of the player,"Live or catchup (live only), VOD",N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,source,String,Custom,Custom,Source of event,"In-app banner, Content Details Page, Menu",N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,ccEnabled,Boolean,Custom,Custom,Close captioning is enabled,TRUE or FALSE,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,N,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,autoPreview,Boolean,Custom,Custom,Identify whether the playback is an auto playback or user initiated,TRUE or FALSE,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,currentPosition,Integer,Custom,Custom,Current position of the player,4069 secs,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,N,N,N,NA,NA,NA,NA
,Error,errorCode,String,Custom,Custom,Application error,131334,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,Y,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,errorMessage,String,Custom,Custom,Application error message,The server has responded with an error!,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,Y,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,errorDescription,String,Custom,Custom,Application error description,"Optional<String>
        - some : ""{\""header\"":{\""code\"":-1,\""message\"":\""Failure\"",\""errors\"":[{\""description\"":\""Invalid content metadata\"",\""code\"":\""40050120\""}],\""source\"":\""005-01\"",\""system_time\"":1602825904729,\""tracking_id\"":\""3162d924-af26-4287-aac6-487a5add027d\""}}""",N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,Y,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,errorInternal,String,Custom,Custom,Application internal error,"Optional<QPError>
    ▿some : ErrorObject
      - errorCode : 40050120
      - errorDescription : ""Invalid content metadata",N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,Y,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,errorType,String,Custom,Custom,Type of error,"PLAYBACK_ERROR, TVOD_ENTITLEMENT_ERROR, UMS_ERROR, APP_ERROR, DOWNLOAD_ERROR",N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,Y,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,errorSeverity,String,Custom,Custom,Severity of the error,"CRITICAL, WARNING, INFO",N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NA,Y,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,Device,device,String,Default,Custom,Device name,SM-T387W,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,deviceGroup,String,Default,Custom,"Category of the device, such as iPhone or Tablet",Tablet,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,deviceManufacturer,String,Default,Custom,Device manufacturer,Samsung,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,deviceModel,String,Default,Custom,Device model,SM-T387W,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,deviceType,String,Default,Custom,Device type,"mobile, tablet, or desktop",Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,userAgentName,String,NA,Default,"Browser’s name, such as Chrome and Firefox, obtained from the User-Agent header of an HTTP request.  Web only","Chrome, Firefox",Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,userAgentOS,String,NA,Default,"Browser’s reported operating system, such as Windows or Linux, that it is running on. This is obtained from the User-Agent header of an HTTP request.  Web only",Browsers' Version,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,osName,String,Default,NA,"Name of the app's host operating system, for example, iOS or Android
",Android,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,osVersion,String,Default,NA,"Full version number of the app's host operating system, such as iOS 11.0.4, as compared to iOS 11",13.123,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,osMajorVersion,String,Default,NA,"Major version number of the app's host operating system, such as iOS 11, as compared to iOS 11.0.4",13,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,Location,city,String,Default,Default,City,Oshawa,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,countryCode,String,Default,Default,"Country code. For a list of country codes, see ISO 3166-1 alpha-2.",CA,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,regionCode,String,Default,Default,Region code,25,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,Network,asn,String,Default,Default,Unique number to identify a group of IP networks serving content to the end user,10796,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,asnLatitude,Numeric,Default,Default,"Latitude of the geographic center of the postal code where the ASN is registered. This is not the end user's latitude
",40.7831,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,asnLongitude,Numeric,Default,Default,"Longitude of the geographic center of the postal code where the ASN is registered. This is not the end user's latitude
",73.9712,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,asnOwner,String,Default,Default,Telecom owner of the ASN,Time Warner Cable Internet LLC,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,carrier,String,Default,NA,"Network over which the app transferred data, such as wifi or [carrier name]",wifi,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,User,userID,String,Custom,Custom,Unique identifier for the logged in user,encrypted or masked ID from UMS,Y,Y,Y,N,N,O,O,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,userType,String,Custom,Custom,User type,"Enumerated:  registered, subscribed, cancelled, anonymous, vip",O,O,Y,N,O,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,profileID,String,Custom,Custom,User profile unique identifier,378251450,Y,Y,Y,N,O,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,deviceID,String,Custom,Custom,"Device identifier, QP-generated",1c8dd2c3-5362-415d-aed4-043f6d78085f,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,umsDeviceID,String,Custom,Custom,"Device identifier, used by Evergent QP-generated",1c8dd2c3-5362-415d-aed4-043f6d78085f,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,tveProvider,String,Custom,Custom,TVE provider,"youtubetv, dish, directv, cox, etc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,baseSubscription,String,Custom,Custom,Subscription package,"Monthly, Yearly-Telugu, Yearly-Tamil",Y,Y,Y,N,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,Consent,consentPurpose,String,Custom,Custom,Purpose of the consent,personalization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,consentGiven,Boolean,Custom,Custom,Consent given,TRUE or FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,consentWithdrawn,Boolean,Custom,Custom,Consent withdrawn,TRUE or FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"User Journey
",pageID,String,Custom,Custom,Page identifier,"Home, Movies, Search, Retention Prompt, Settings",N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,Y,NA,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
